"id","source","source_accessed","source_identifier","short_title","author","year","gender","translator","title","publication","format","catalogue_numbers","notes","further_editions","scan_identifiers_space_separated_semicolon_separates_volumes_of_same_edition","scan_notes_volumes_missing,_second_edition_etc_semicolon_comments_on_corresponding_edition_in_scan_field"
11,"GARSIDE1800-1829",20100817,"1800A011","Picture of the Age, The","ANON",1800,"Unknown",,"THE PICTURE OF THE AGE. A NOVEL. IN TWO VOLUMES","London:                     Printed for H. D. Symonds, Paternoster-Row, 1800","2 vols (I xiii, 205p; II 181p). 8&deg;","Corvey; CME 3-628-48439-1; EN2 1800: 12; ESTC n061593; OCLC 33014413","CR indicates a translation from the French, but no French original discovered. Printer's mark (in square brackets) after imprint date reads: 'T. Davison, Lombard-Street, Fleet-Street'",,,"DUKE owns a copy OCLC:33014413 "
12,"GARSIDE1800-1829",20100817,"1800A012","Sailor Boy, The","ANON",1800,"Unknown",,"THE SAILOR BOY. A NOVEL. IN TWO VOLUMES","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","2 vols (I 239p; II 242p). 12&deg;","Corvey; CME 3-628-48591-6; EN2 1800: 13; EM 168: 3; ESTC t066390; OCLC 27401358",,"Boston 1801 (OCLC) [also Exeter, NH, 1801 (OCLC)]",,
13,"GARSIDE1800-1829",20100817,"1800A013","Short Story, A","ANON",1800,"Female",,"A SHORT STORY: INTERSPERSED WITH POETRY. BY A YOUNG LADY. IN TWO VOLUMES","London:                     Printed and published by Geo. Cawthorn, British Library, No. 132, Strand, Bookseller to Her Royal Highness the Princess of Wales; sold also by Messrs. Richardson, Royal-Exchange; H. D. Symonds, J. Wallis, West and Hughes, Paternoster-Row; and J. Wright, Piccadilly, 1800","2 vols (I vii, 201p; II 204p). 12&deg;","Corvey; CME 3-628-48689-0; EM 170: 4; EN2 1800: 15; ESTC t066394; OCLC 48154945",,,,
14,"GARSIDE1800-1829",20100817,"1800A014","Spirit of Turretville, The","ANON",1800,"Unknown",,"THE SPIRIT OF TURRETVILLE: OR, THE MYSTERIOUS RESEMBLANCE. A ROMANCE OF THE TWELFTH CENTURY: IN TWO VOLUMES","London:                     Printed by J. D. Dewick, 20, Aldersgate Street; for R. Dutton, 10, Birchin Lane, Cornhill, 1800","2 vols (I iv, 200p; II 223p). 12&deg;","Corvey; CME 3-628-48800-1; EM 131: 4; EN2 1800: 16; ESTC t066395; OCLC 38964019","Advertisement', regarding subject of novel, states: 'The Proprietor of an extensive circulating library informed him [the author], that he could not keep a ghost or a spirit at home' (p. [iii])","German trans., 1834?",,
15,"GARSIDE1800-1829",20100817,"1800A015","Tales of Truth","ANON",1800,"Female",,"TALES OF TRUTH. BY A LADY. UNDER THE PATRONAGE OF THE DUCHESS OF YORK. IN FOUR VOLUMES","London:                     Printed by T. Plummer, Seething-Lane; for R. Dutton, No. 10, Birchin-Lane, Cornhill, 1800","4 vols (I 153p; II 179p; III 170p; IV 168p). 8&deg;","Corvey; CME 3-628-48874-5; EM 1279: 10; EN2 1800: 17; ESTC n013589; xOCLC","Dedication to the Duchess of York signed 'E. H.'. Main text preceded by 2 poems, 'Sonnet to Gratitude' and 'Lines Addressed to her R.H. the Duchess of York'",,,
16,"GARSIDE1800-1829",20100817,"1800A016","Douglas","Robert BISSET",1800,"Male",,"DOUGLAS; OR, THE HIGHLANDER. A NOVEL. IN FOUR VOLUMES. BY ROBERT BISSET, L.L.D. AUTHOR OF THE LIFE OF BURKE, &C","London:                     Printed at the Anti-Jacobin Press, by T. Crowder, Temple Lane, Whitefriars; and sold by C. Chapple, Pall Mall; T. Hurst, Paternoster Row; and J. and E. Kerby, Bond Street, 1800","4 vols (I vi, xxviii, 323p; II v, 300p; III viii, 315p; IV xii, 382p). 12&deg;","Corvey; EM 240: 1; EN2 1800: 18; ESTC t068561; OCLC 13276143","Dedication to 'the most noble George, Marquis of Huntley', dated Sloane Terrace, 1 Feb 1800","Dublin 1800 (NUC)",,
17,"GARSIDE1800-1829",20100817,"1800A017","Monk of the Grotto, The","Louise Marguerite BRAYER DE SAINT-L&#201;ON",1800,"Female",,"THE MONK OF THE GROTTO, OR EUGENIO & VIRGINIA. A TALE. IN TWO VOLUMES. FROM THE FRENCH","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","2 vols (I xxx, 238p; II 249p). 12&deg;","Corvey; CME 3-628-48265-8; ECB 391; EN2 1800: 60; xESTC; OCLC 6972779","Possibly a trans. of Brayer de Saint-Léon's <i>Eugenio et Virginia</i> (Paris, 1799&ndash;1800). Summers states original by Pigault-Lebrun, but both Gecker and Blakey question his authorship. ECB treats as anonymous and dates Jan 1801","Cork 1802 (OCLC); Boston 1846 (OCLC)",,
18,"GARSIDE1800-1829",20100817,"1800A018","Ormond; or the Secret Witness","Charles Brockden BROWN",1800,"Male",,"ORMOND; OR THE SECRET WITNESS. BY THE AUTHOR OF WIELAND, ARTHUR MERVYN, &C. &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","1 vol.  (iv, 338p). 12&deg;","Corvey; CME 3-628-47138-9; EN2 1800: 19; ESTC t131855; OCLC 8230783","Dedication to I. E. Rosenberg. Collates in sixes.  Originally published New York 1799 (Blanck)","1811 (NSTC); 1822 (OCLC); 1839 (NSTC); German trans., 1802 (ascribed to William Godwin)",,
19,"GARSIDE1800-1829",20100817,"1800A019","Elliott","Mrs BURKE",1800,"Female",,"ELLIOTT: OR, VICISSITUDES OF EARLY LIFE. IN TWO VOLUMES. BY A LADY","London:                     Printed and published by Geo. Cawthorn, British Library, No. 132, Strand, Bookseller to Her Royal Highness the Princess of Wales; sold also by Messrs. Richardson, Royal-Exchange; H. D. Symonds, J. Wallis West and Hughes, Paternoster-Row; and J. Wright, Piccadilly, 1800","2 vols (I viii, 338p; II 295p). 12&deg;","Corvey; CME 3-628-47524-4; EN2 1800: 20; ESTC t210673; OCLC 13611552","A List of Subscribers' Names', vol. 1, pp. [i]&ndash;viii",,,
20,"GARSIDE1800-1829",20100817,"1800A020","Zimao, the African",,1800,"Male",,"ZIMAO, THE AFRICAN. TRANSLATED BY THE REV. WEEDEN BUTLER, M.A. OF SIDNEY SUSSEX COLLEGE, CAMBRIDGE","London:                     Printed for Vernor and Hood, in the Poultry; by S. Rousseau, Wood Street, Spa Fields, 1800","1 vol.  (xi, 105p). 8&deg;","BL 837.b.35(1); EN2 1800: 21; ESTC t075674; OCLC 6317807","ESTC states this appears not to be a translation. Small engraving on t.p. Preface addressed to 'Courteous Reader' and signed W. B., Cheyn&egrave; Walk, Chelsea. Dedication 'to A Lady eminent for her private qualities and her public station', pp. [v]&ndash;x; six-line verse quotation from Darwin, p. xi. Text ends on p. 71 and the rest is an appendix concerning slavery","Dublin 1800 (ESTC); 2nd edn 1807 (NSTC)",,
21,"GARSIDE1800-1829",20100817,"1800A021","Old Woman, The","Mrs CARVER",1800,"Female",,"THE OLD WOMAN. A NOVEL. IN TWO VOLUMES. BY THE AUTHOR OF THE HORRORS OF OAKENDALE ABBEY","London:                     Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall-Street, 1800","2 vols (I 218p; II 255p). 12&deg;","Corvey; CME 3-628-48255-0; EN2 1800: 22; ESTC t223030; xOCLC",,,,
22,"GARSIDE1800-1829",20100817,"1800A022","Ermina Montrose","Emily CLARK",1800,"Female",,"ERMINA MONTROSE; OR, THE COTTAGE OF THE VALE. IN THREE VOLUMES. WITH CHARACTERS FROM LIFE. BY EMILY CLARK, GRAND-DAUGHTER OF THE LATE COLONEL FREDERICK, AND AUTHOR OF ""IANTHE; OR, THE FLOWER OF CAERNARVON.""","London:                     Printed for the Author, and sold by James Wallis, Paternoster-Row, 1800","3 vols (I viii, 239p; II 272p; III 244p). 12&deg;","Corvey; CME 3-628-47290-3; EM 131: 5; EN2 1800: 23; ESTC t070069; xOCLC","Dedication 'to the Right Honorable Countess of Shaftesbury', signed Emily Clark, No 4, Cockspur-street, Haymarket. 'List of Subscribers', vol. 1, pp. [iii]&ndash;viii",,,
23,"GARSIDE1800-1829",20100817,"1800A023","Julia St Helen","Sarah COBBE",1800,"Female",,"JULIA ST. HELEN; OR, THE HEIRESS OF ELLISBOROUGH. A NOVEL. IN TWO VOLUMES. PUBLISHED BY SARAH COBBE, RELICT OF THE REV. RICHARD CHALONER COBBE, RECTOR OF BRADENHAM IN BUCKINGHAMSHIRE, AND CHAPLAIN TO THE RIGHT HONOURABLE THE EARL OF MOIRA","London:                     Printed by J. Nichols, Earl's Court, Leicester-Square; sold by Earle and Hemet, No. 47, Albemarle-Street, Piccadilly, 1800","2 vols (I xvii, 228p; II 240p). 12&deg;","BL 12654.f.10; EN2 1800: 24; ESTC t107266; xOCLC","Dedication to 'the Right Honourable the Earl of Moira, Baron Rawdon, &c. &c. &c. &c.', dated 15 June 1800. Preface states 'that Julia St. Helen is not mine, but has been kindly obtained for me from the deceased author's relatives, through the interference of a friend, and upon the condition that I should publish it by subscription' (p. [vii]). 'List of Subscribers' , vol. 1, pp. [ix]&ndash;xvii",,,
24,"GARSIDE1800-1829",20100817,"1800A024","Adelaide De Narbonne","Helen CRAIK",1800,"Female",,"ADELAIDE DE NARBONNE, WITH MEMOIRS OF CHARLOTTE DE CORDET. A TALE. IN FOUR VOLUMES. BY THE AUTHOR OF HENRY OF NORTHUMBERLAND","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","4 vols (I 286p; II 267p; III 283p; IV 304p). 12&deg;","BL 12612.dd.2; EM 273: 1; EN2 1800: 25; ESTC t066881; OCLC 44524455",,,,
25,"GARSIDE1800-1829",20100817,"1800A025","Henry of Northumberland","Helen CRAIK",1800,"Female",,"HENRY OF NORTHUMBERLAND, OR THE HERMIT'S CELL. A TALE OF THE FIFTEENTH CENTURY. IN THREE VOLUMES","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","3 vols (I xii, 233p, ill.; II 247p; III 249p). 12&deg;","Corvey; CME 3-628-47777-8; EN2 1800: 26; ESTC t200843; OCLC 31498366",,"Dublin 1800 (ESTC)",,
26,"GARSIDE1800-1829",20100817,"1800A026","Ankerwick Castle","Mrs CROFFTS",1800,"Female",,"ANKERWICK CASTLE. A NOVEL. IN FOUR VOLUMES. BY MRS. CROFFTS","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","4 vols (I 286p; II 251p; III 259p; IV 249p). 12&deg;","Corvey; CME 3-628-47352-7; EN2 1800: 27; ESTC n042635; OCLC 42783029",,"German trans., 1801 [as <i>Schloß Ankerwick. Ein Sittengem&auml;lde nach der Natur</i> (RS)]",,
27,"GARSIDE1800-1829",20100817,"1800A027","St Godwin","Edward DUBOIS",1800,"Male",,"ST. GODWIN: A TALE OF THE SIXTEENTH, SEVENTEENTH, AND EIGHTEENTH CENTURY. BY COUNT REGINALD DE ST. LEON","London:                     Printed for J. Wright, Piccadilly, 1800","1 vol.  (xxiii, 235p). 12&deg;","BL 12613.d.8; EM 276: 4; EN2 1800: 28; ESTC t070070; OCLC 11776820","Dedication to Mrs Sheridan. Preface dated 26 Dec 1799. A satire of William Godwin's <i>St. Leon</i> (EN1 1799: 42)","2nd edn (corrected) 1800 (OCLC); Dublin 1800 (ESTC)",,
28,"GARSIDE1800-1829",20100817,"1800A028","Obi","William EARLE (jun.)",1800,"Male",,"OBI; OR, THE HISTORY OF THREE-FINGERED JACK. IN A SERIES OF LETTERS FROM A RESIDENT IN JAMAICA TO HIS FRIEND IN ENGLAND","London:                     Printed for Earle and Hemet, No. 47, Albemarle-Street, Piccadilly, 1800","1 vol.  (vi, 232p). 12&deg;","ViU PR.3431.E171800; EN2 1800: 29; ESTC t176735; OCLC 18867095","Advertisement' signed 'W. E. J.'","Worcester, MA, 1804 (OCLC). Also numerous chapbook versions of this story (and songs from the pantomime version) with similar titles. For example, BL 1076.l.24(15), with the same lead title (Newcastle: printed by M. Angus & Son [1800?]), is 24pp",,
29,"GARSIDE1800-1829",20100817,"1800A029","Castle Rackrent","Maria EDGEWORTH",1800,"Female",,"CASTLE RACKRENT, AN HIBERNIAN TALE. TAKEN FROM FACTS, AND FROM THE MANNERS OF THE IRISH SQUIRES, BEFORE THE YEAR 1782","London:                     Printed for J. Johnson, St. Paul's Church-Yard, 1800","1 vol.  (xliv, 182p). 8&deg;","BL 12611.f.4; ECB 178 (3rd edn); EM 58: 1; EN2 1800: 30; ESTC t057317; OCLC 17804611","Printer information, 'By J. Crowder, Warwick-Square', after imprint date. 'Advertisement to the English Reader', followed by 'Glossary', pp. [xv]&ndash;xliv","1800 (ESTC); Dublin 1800 (ESTC); 2nd edn 1801 (OCLC); 2nd edn Dublin 1801 (NSTC); 3rd edn 1801 (Corvey), CME 3-628-47575-9; 3rd edn Dublin 1802 (NSTC); 4th edn 1804 (NSTC); 5th edn 1810 (NSTC); 5th edn Dublin 1810 (NSTC); [at least 3 more edns to 1850]; Boston 1814 (OCLC); German trans., 1802","castlerackrentab00edgeiala ri1p7RoX_zwC pg1424","found in castlerackrentab00edgeiala (along with The Absentee)"
30,"GARSIDE1800-1829",20100817,"1800A030","Romance of the Castle","Jane ELSON",1800,"Female",,"ROMANCE OF THE CASTLE. IN TWO VOLUMES","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","2 vols (I ii, 236p, ill.; II 238p). 12&deg;","Corvey; CME 3-628-48470-7; EN2 1800: 31; ESTC t200842; xOCLC",,,,
31,"GARSIDE1800-1829",20100817,"1800A031","Emily of Lucerne","Mrs E. M. FOSTER",1800,"Female",,"EMILY OF LUCERNE. A NOVEL. IN TWO VOLUMES. BY THE AUTHOR OF THE DUKE OF CLARENCE","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","2 vols (I 240p; II 304p). 12&deg;","Corvey; CME 3-628-47563-5; EN2 1800: 32; ESTC n030766; xOCLC","Dedication in the 2nd vol. after t.p. 'to Her Royal Highness the Princess of Wales' signed 'E. M. F.'",,,
32,"GARSIDE1800-1829",20100817,"1800A032","Frederic & Caroline","Mrs E. M. FOSTER",1800,"Female",,"FREDERIC & CAROLINE, OR THE FITZMORRIS FAMILY. A NOVEL. IN TWO VOLUMES. BY THE AUTHOR OF REBECCA, JUDITH, MIRIAM, &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","2 vols (I 256p; II 296p). 12&deg;","BL 12613.aaa.11; CME 3-628-47838-3; EM 199: 2; EN2 1800: 33; ESTC t068576; xOCLC","Dedication 'to Her Royal Highness, the Princess of Wales', signed 'E. M. F'. The Dedication is not found in the Corvey copy of this title. Drop-head title and running-titles read 'Fitzmorris'",,,
33,"GARSIDE1800-1829",20100817,"1800A033","Judith","Mrs E. M. FOSTER",1800,"Female",,"JUDITH. A NOVEL. IN TWO VOLUMES. BY THE AUTHOR OF REBECCA, MIRIAM, FITZMORRIS, &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","2 vols (I 285p; II 251p). 12&deg;","Corvey; CME 3-628-48010-8; EN2 1800: 34; ESTC t212789; xOCLC",,"German trans., 1802",,
34,"GARSIDE1800-1829",20100817,"1800A034","Miriam","Mrs E. M. FOSTER",1800,"Female",,"MIRIAM. A NOVEL. IN TWO VOLUMES. BY THE AUTHOR OF FREDERIC & CAROLINE, REBECCA, JUDITH, &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","2 vols (I 262p; II 271p). 12&deg;","Corvey; CME 3-628-48168-6; EM 1000: 5; EN2 1800: 35; ESTC n004164; OCLC 42866477",,"German trans., 1801",,
35,"GARSIDE1800-1829",20100817,"1800A035","Rival Mothers, The","St&#233;phanie F&#233;licit&#233;, Comtesse de GENLIS",1800,"Female",,"THE RIVAL MOTHERS, OR CALUMNY. TRANSLATED FROM THE FRENCH OF MADAME DE GENLIS. IN FOUR VOLUMES","London:                     Printed by A. Strahan, Printers-Street, for T. N. Longman and O. Rees, Paternoster-Row, 1800","4 vols (I xix, 357p; II 382p; III 379p; IV 410). 12&deg;","BL N.2724; EN2 1800: 36; ESTC t144616; OCLC 14201504","Trans. of <i>Les M&egrave;res rivales, ou la calomnie</i> (Paris, 1800)","Dublin 1801 (NSTC)",,
36,"GARSIDE1800-1829",20100817,"1800A036","Castle of Eridan, The","Giuseppe A. GRAGLIA",1800,"Male",,"THE CASTLE OF ERIDAN: OR, THE ENTERTAINING AND SURPRISING HISTORY OF THE VALIANT DON ALVARES, AND THE BEAUTIFUL EUGENIA, DUCHESS OF SAVOY. BY G. A. GRAGLIA","London:                     Printed by H. Baldwin and Son, New Bridge-Street; and sold by T. Hurst, Paternoster-Row, Lackington and Co. Finsbury-Square; Boosey, No. 4, Broad-Street; Vernor and Hood, Poultry; J. Wright, Piccadilly; W. Miller, Old Bond-Street; and all the principal Booksellers in London, 1800","1 vol.  (viii, 248p). 12&deg;","Corvey; CME 3-628-47792-1; ECB 238; EM 7091: 6; EN2 1800: 37; ESTC t073519; OCLC 42206855","ESTC notes pp. iv and 178 misnumbered v and 78; this is matched by the Corvey copy",,,
37,"GARSIDE1800-1829",20100817,"1800A037","Fashionable Involvements","Susannah GUNNING [n&#233;e MINIFIE, Susannah]",1800,"Female",,"FASHIONABLE INVOLVEMENTS: A NOVEL. BY MRS. GUNNING. IN THREE VOLUMES","London:                     Printed by T. Gillet, Salisbury-Square; and sold by T. N. Longman and O. Rees, Paternoster-Row, 1800","3 vols (I 236p; II 237p; III 207p). 12&deg;","University of Alberta PR3505.G85.F24.1800; EN2 1800: 38; ESTC n009730; OCLC 8527422",,"Dublin 1800 (ESTC); 1800 (ESTC), EM 2265: 2; 3rd edn 1800 (Corvey), CME 3-628-47583-X",,"Copies on Gale 18th Century Literature Online"
38,"GARSIDE1800-1829",20100817,"1800A038","Memoirs of Modern Philosophers","Elizabeth HAMILTON",1800,"Female",,"MEMOIRS OF MODERN PHILOSOPHERS. IN THREE VOLUMES","Bath:                     Printed by R. Cruttwell, for G. G. and J. Robinson, Pater-Noster-Row, London, 1800","3 vols (I xvi, 335p; II 402p; III 366p). 8&deg;","Corvey; CME 3-628-48063-9; ECB 252 (2nd edn); EM 130: 1; EN2 1800: 39; ESTC t064746; OCLC 5084139","A letter to 'Mr. Robinson, Bookseller, Pater-Noster-Row', signed by Geoffry Jarvis [pseud.], pp. [v]&ndash;xvi","1800 (ESTC); Dublin 1800 (ESTC); 3rd edn London 1801 (NSTC); Dublin 1801 (OCLC); 4th edn London & Bath 1804 (NSTC); French trans., 1802 [as <i>Bridgetina ou les philosophes modernes</i> (NSTC)]",,
39,"GARSIDE1800-1829",20100817,"1800A039","Andrew Stuart","Mary Ann HANWAY",1800,"Female",,"ANDREW STUART, OR THE NORTHERN WANDERER. A NOVEL. IN FOUR VOLUMES. BY MARY ANN HANWAY, AUTHOR OF ELLINOR, OR THE WORLD AS IT IS","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","4 vols (I vi, 267p; II 314p; III 342p; IV 418p). 12&deg;","Corvey; CME 3-628-47624-0; EM 193: 1; EN2 1800: 40; ESTC t093969; OCLC 6778820","Dedication to Major John Scot Waring signed Manchester-Street, Manchester-Square",,,
40,"GARSIDE1800-1829",20100817,"1800A040","Edwardina","Catherine HARRIS",1800,"Female",,"EDWARDINA, A NOVEL. IN TWO VOLUMES. DEDICATED TO MRS. SOUTER JOHNSTON. BY CATHERINE HARRIS","London:                     Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall-Street, 1800","2 vols (I iv, 229p; II 263p). 12&deg;","Corvey; CME 3-628-47629-1; EM 1005: 14; EN2 1800: 41; ESTC n003448; OCLC 13357328","List of Subscribers' (4 pp. unn.) at beginning of vol. 1",,,
41,"GARSIDE1800-1829",20100817,"1800A041","Mourtray Family, The","Elizabeth HERVEY",1800,"Female",,"THE MOURTRAY FAMILY. A NOVEL. IN FOUR VOLUMES","London:                     Printed by Millar Ritchie, Middle Street, Cloth Fair, for R. Faulder, New Bond Street, 1800","4 vols (I 299p; II 281p; III 276p; IV 276p). 12&deg;","Corvey; CME 3-628-48388-3; EM 2504: 1; EN2 1800: 42; ESTC n005765; OCLC 6793209","ECB 266 lists Colburn edn, 1810","2nd edn 1810 (NSTC); 3rd edn 1814 (NSTC); French trans., 1802",,
42,"GARSIDE1800-1829",20100817,"1800A042","Baron of Lauderbrooke, The","William HOLLOWAY",1800,"Male",,"THE BARON OF LAUDERBROOKE. A TALE BY W. HOLLOWAY","London:                     Printed by T. Maiden, Sherbourne-Lane, for Ann Lemoine, White-Rose Court, Coleman-Street, and sold by T. Hurst, Paternoster-Row, 1800","1 vol.  (iv, 103p, ill.). 12&deg;","IU 823.H.728B; EN2 1800: 43; ESTC t192785; OCLC 45589263","Frontispiece dated Aug 1800; engraved t.p. before printed t.p. Collates in sixes. BL 012611.de.1(1), with identical imprint, has 204pp. MH-H copy has 64 pp","1800 (ESTC), EM 175: 10; 1800 (ESTC)",,
43,"GARSIDE1800-1829",20100817,"1800A043","Rimualdo","Samuel William Henry IRELAND",1800,"Male",,"RIMUALDO: OR, THE CASTLE OF BADAJOS. A ROMANCE. BY W. H. IRELAND, AUTHOR OF ""THE ABBESS,"" &C. &C. IN FOUR VOLUMES","London:                     Printed by A. Strahan, Printers-Street, for T. N. Longman and O. Rees, Paternoster-Row, 1800","4 vols (I 190p; II 216p; III 239p; IV 283p). 12&deg;","Corvey; CME 3-628-47946-0; EN2 1800: 44; ESTC n048052; OCLC 6818425",,"French trans., 1823 [as <i>Les Brigands de l'Estramadure, ou l'orphelin de la forêt</i> (Maurice Lévy, 'Bibliographie Chronologique', in his <i>Le Roman &lsquo;gothique&rsquo; Anglais 1764&ndash;1824</i> (Toulouse, 1968))]",,
44,"GARSIDE1800-1829",20100817,"1800A044","Tales of the Abbey","Mrs A. KENDALL",1800,"Female",,"TALES OF THE ABBEY: FOUNDED ON HISTORICAL FACTS. IN THREE VOLUMES. BY A. KENDALL, AUTHOR OF ""DERWENT PRIORY, THE CASTLE ON THE ROCK,"" &C. &C","London:                     Printed by C. Whittingham, Dean Street, Fetter Lane; for H. D. Symonds, Paternoster-Row, 1800","3 vols (I iv, 268p; II 314p; III 252p). 12&deg;","Corvey; CME 3-628-47996-7; EN2 1800: 45; ESTC n047689; OCLC 16721714","Advertisement' dated Isleworth, 1 Sept 1800","Dublin 1801 (OCLC)",,
